Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,correo de programador,correo de planeador,imagen_observacion,aprobacion programador
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,ESTADO DE CADENAS TABLETOP ,si,CUMPLE,"8/5/2024, 12:12:30","0,1428571429",si,si,si,si,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,TRANSMISIÓN MECÁNICA,si,CUMPLE,"8/5/2024, 12:12:41","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,SISTEMA DE LUBRICACION,si,CUMPLE,"8/5/2024, 12:12:47","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,ESTADO DE BARANDAS Y EMPACKS,si,CUMPLE,"8/5/2024, 12:12:53","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,ESTRUCTURA GENERAL- ANCLAJES ,si,CUMPLE,"8/5/2024, 12:12:58","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,TORNILLERÍA ,si,CUMPLE,"8/5/2024, 12:13:04","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,ESTADO DE CARRETAS  Y PIÑONEAS,si,CUMPLE,"8/5/2024, 12:13:09","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1, ESTADO Y DESGASTE DE RODAMIENTOS Y CHUMACERAS ,si,CUMPLE,"8/5/2024, 12:13:14","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,ESTADO Y DESGASTE DE LAS CURVAS,si,CUMPLE,"8/5/2024, 12:13:20","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,"RUIDO, VIBRACION, CALENTAMIENTO EN LOS MOTORREDUCTORES",si,CUMPLE,"8/5/2024, 12:13:25","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,"REVISION TABLEROS DE POTENCIA Y CONTROL, CONEXIONES Y LIMPIEZA",si,CUMPLE,"8/5/2024, 12:13:31","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,VERIFICACIÓN DEL FUNCIONAMIENTO DE LAS PROTECCIONES,si,CUMPLE,"8/5/2024, 12:13:37","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,REVISION DE SENSORES Y FOTOCELDAS ,si,CUMPLE,"8/5/2024, 12:13:45","0,1428571429",,,,,.,.,CUMPLE,
LINEA DE ENVASADO 12 ONZ,829646,TRANSPORTADOR DE BOTELLAS L2,13336668,INSP. ELECT-MEC TRANSP BEBIDAS ZONA 1,CALENTAMIENTO Y CONEXIONES EN VARIADORES DE VELOCIDAD,si,CUMPLE,"8/5/2024, 12:13:50","0,1428571429",,,,,.,.,CUMPLE,
TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,207428,PLANTA AGUAS RESIDUALES,13342115,INSPECCIÓN ELECT-MEC SEMANAL PTAR,VERIFICAR MEDIDOR DIGITAL DE CONSUMO             (35 KG/H),,,,"0,1538461538",,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,207428,PLANTA AGUAS RESIDUALES,13342115,INSPECCIÓN ELECT-MEC SEMANAL PTAR,REVISION DE FUGAS DE CO2,,,,"0,1538461538",,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,207428,PLANTA AGUAS RESIDUALES,13342115,INSPECCIÓN ELECT-MEC SEMANAL PTAR,FUNCIONAMIENTO DE LAS MOTOBOMBAS,,,,"0,1538461538",,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO GASEOSAS,207428,PLANTA AGUAS RESIDUALES,13342115,INSPECCIÓN ELECT-MEC SEMANAL PTAR,VERIFICAR ESTADO DE LAS REJILLAS,,,,"0,1538461538",,,,,,,,
