Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Verificar alimentación eléctrica,"0,0217391304",si,si,si,si,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Verificar estado del contador,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar estado de tablero eléctrico,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar conexiones eléctricas,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Verificar señales de sensores,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar presiones de aire,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar sistema neumático,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar cilindros de dosificación,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar sistema de sellado ,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar sistema de arrastre,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Lubricación,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Verificar estado de empaques,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar estado de manómetros ,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Estado de estructura soporte,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Limpieza general del equipo ,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Verificar funcionamiento del contador display,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar tangue de nitrogeno,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar estado de rodillo mesa de trabajo,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar estado de manguera alimentacion (aire) ,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar estado de forro protector,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,"Estado de tuberia CIP, manguera principal","0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Revisar funcionamiento y estado de balanza,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,710410,LLENADORA DE BOLSAS BAG IN BOX,13345143,Inspección semanal llenodora bib,Estado de empaques e inspección de fugas.,"0,0217391304",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Verificar alimentación eléctrica tablero,"0,0333333333",si,si,si,si,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar filtro en Y,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar estado de bomba de Envío,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar presiones de aire,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar sistema neumático,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Verificar estado de empaques,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Verificar señales de sensores de nivel,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar soporte principal del tanque,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Verificar limpieza general,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar estado y funcionamiento de sensores y manometros,"0,0333333333",,,,,,,,,,,
LINEA ENVASADO BAG IN BOX DISPENSADORES,70946534,TANQUE DE JARABE,13345144,Inspección semanal tk jarabe bib,Revisar estado general soldadura,"0,0333333333",,,,,,,,,,,
