Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,correo de programador,correo de planeador,imagen_observacion
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,"Vericicar fugas de aire, agua o aceite en general",si,CUMPLE,"17/5/2024, 13:40:09","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,"Estado de tableros electricos (contactores, pulsadores, breakers, cables, pilotos, selectores)",si,CUMPLE,"17/5/2024, 13:40:19","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,Estado de tuberías y accesorios,si,CUMPLE,"17/5/2024, 13:40:42","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,Verificar valvulas neumaticas y de llenado,si,CUMPLE,"17/5/2024, 13:41:21","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,Estado de los sensores,si,CUMPLE,"17/5/2024, 13:41:31","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,"revisar ruido, vibración o calentamiento en motores y bombas",si,CUMPLE,"17/5/2024, 13:41:45","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,Revisar el correcto tapado de los botellones,si,CUMPLE,"17/5/2024, 13:41:59","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,Estado de la estructuta (láminas y platinas inox),si,CUMPLE,"17/5/2024, 13:42:09","0,0111111111",si,si,si,si,.,.,CUMPLE
LINEA DE PRODUCCION DE BOTELLONES DE 20,710214,LLENADORA DE BOTELLONES,13349718,Inspeccion semanal Llenadora Botellones,"Revisar estado de los transportadores en general (cadenas, chumacera, teflones, otros)",si,CUMPLE,"17/5/2024, 13:42:35","0,0111111111",si,si,si,si,.,.,CUMPLE
TRATAMIENTO DE AGUA PARA ENVASADO Y LAVA,70003302,CUARTO DE BOMBAS ENVASADO,13342606,Inspeccion semanal Cuarto bombas envas,PLAN MTO MECANICO CUARTO DE BOMBAS ENVA,,,,"0,5",si,si,si,si,,,
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,207015,TALLER INDUSTRIAL MANTENIMIENTO PLANTA,13349732,Inspeccion semanal equipos del taller,PLAN MTO MECANICO TALLER INDUSTRIAL,si,CUMPLE,"16/5/2024, 7:45:19","0,1",,,,,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revisar conjunto pick and place y fugas de aire,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,"Revisión tolva de tapas, cadena y cangilones",,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revision de Tablero de Control y potencia y sensores del sistema,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,revisar Carrilera o Canal Dosificador de Tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,"Revisar Juego manejo de Estrellas y Guías de entrada, Centro y salida Capsuladora",,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revision del sistema de lubricacion,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revisar estado Motor y agitador Tolva de Tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revisar Cabezales Magna Torque,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revisar Seguidores de Levas de pistónes y acoples de los cabezales Magna Torque,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,"Revision de Sistema de transmisión de cadenas del Sin fin, conjunto chumaceras y ejes",,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Verificar estado de Transmisiones de correas y poleas yRevision de Sistema de engrane arbol Central.,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revision de Motor principal y electro freno,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Verificar ruido vibración y calentamiento en el motor reductor elevador de tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Verificar estado y funcionamiento de la transmision elevador de tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revisar estado de estructura exterior elevador de tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Estado de la tolva de tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Revision de sensores de elevador de tapas,,,,"0,0055555556",,,,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,13342589,Inspeccion semanal Capsuladora,Estado de la banda de elevador de tapas,,,,"0,0055555556",,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,Verifique el estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:23:38","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,"Verificar instrumentos en rangos normales de Operación (voltaje, amperaje, presion de agua, etc)",si,CUMPLE,"8/5/2024, 20:23:51","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,Revisar el nivel de aceite adecuado en el carter,si,CUMPLE,"8/5/2024, 20:24:03","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,"Verifique que no haya fugas de aceite, agua o amoniaco",si,CUMPLE,"8/5/2024, 20:24:13","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,"Revise normalidad en ruido, vibración, amperaje y el calentamiento del motor",si,CUMPLE,"8/5/2024, 20:24:24","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,Revise normalidad en vibración  o calentamiento de tapas o cuerpo del compresor,si,CUMPLE,"8/5/2024, 20:24:34","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,Verifique el estado de poleas y correas,si,CUMPLE,"8/5/2024, 20:24:46","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,Verifique el estado de tuberias y accesorios agua de refrigeracion,si,CUMPLE,"8/5/2024, 20:24:58","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,"Verifique el estado de los tableros eléctricos (contactores, pulsadores, breakers, selectores, pilotos, etc)",si,CUMPLE,"8/5/2024, 20:25:09","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,628983,COMPRESOR DE REFRIGERACION,13342593,Inspeccion semanal Compresor refr #1,revisar electrovalvulas,si,CUMPLE,"8/5/2024, 20:25:22","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,Verifique el estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:25:31","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,"Verificar instrumentos en rangos normales de Operación (voltaje, amperaje, presion de agua, etc)",si,CUMPLE,"8/5/2024, 20:25:38","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,Revisar el nivel de aceite adecuado en el carter,si,CUMPLE,"8/5/2024, 20:25:47","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,"Verifique que no haya fugas de aceite, agua o amoniaco",si,CUMPLE,"8/5/2024, 20:25:54","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,"Revise normalidad en ruido, vibración, amperaje y el calentamiento del motor",si,CUMPLE,"8/5/2024, 20:26:02","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,Revise normalidad en vibración  o calentamiento de tapas o cuerpo del compresor,si,CUMPLE,"8/5/2024, 20:26:10","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,Verifique el estado de poleas y correas,si,CUMPLE,"8/5/2024, 20:26:18","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,Verifique el estado de tuberias y accesorios agua de refrigeracion,si,CUMPLE,"8/5/2024, 20:26:26","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,"Verifique el estado de los tableros eléctricos (contactores, pulsadores, breakers, selectores, pilotos, etc)",si,CUMPLE,"8/5/2024, 20:26:41","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629044,COMPRESOR DE REFRIGERACION,13342594,Inspeccion semanal Compresor refr #2,revisar electrovalvulas,si,CUMPLE,"8/5/2024, 20:26:56","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,Verifique el estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:29:00","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,"Verificar instrumentos en rangos normales de Operación (voltaje, amperaje, presion de agua, etc)",si,CUMPLE,"8/5/2024, 20:29:08","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,Revisar el nivel de aceite adecuado en el carter,si,CUMPLE,"8/5/2024, 20:29:22","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,"Verifique que no haya fugas de aceite, agua o amoniaco",si,CUMPLE,"8/5/2024, 20:29:36","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,"Revise normalidad en ruido, vibración, amperaje y el calentamiento del motor",si,CUMPLE,"8/5/2024, 20:29:44","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,Revise normalidad en vibración  o calentamiento de tapas o cuerpo del compresor,si,CUMPLE,"8/5/2024, 20:29:53","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,Verifique el estado de poleas y correas,si,CUMPLE,"8/5/2024, 20:30:00","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,Verifique el estado de tuberias y accesorios agua de refrigeracion,si,CUMPLE,"8/5/2024, 20:30:09","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,"Verifique el estado de los tableros eléctricos (contactores, pulsadores, breakers, selectores, pilotos, etc)",si,CUMPLE,"8/5/2024, 20:30:21","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,629051,COMPRESOR DE REFRIGERACION,13342595,Inspeccion semanal Compresor refr #3,revisar electrovalvulas,si,CUMPLE,"8/5/2024, 20:30:40","0,01",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,Verifique el estado de los instrumentos de medición,si,CUMPLE,"8/5/2024, 20:33:21","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,Verificar instrumentos en rangos normales de Operación,si,CUMPLE,"8/5/2024, 20:33:37","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,"Verifique que no haya fugas de aceite, agua o aire",si,CUMPLE,"8/5/2024, 20:33:44","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,"Revise normalidad en ruido, vibración, amperaje y temperatura del motor",si,CUMPLE,"8/5/2024, 20:33:58","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,Revise normalidad en vibración  o calentamiento de tapas o cuerpo del compresor,si,CUMPLE,"8/5/2024, 20:34:15","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,Verifique el estado de poleas y correas,si,CUMPLE,"8/5/2024, 20:34:23","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,Verifique el estado de tuberias y accesorios agua de refrigeracion,si,CUMPLE,"8/5/2024, 20:34:30","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,640020,COMPRESOR DE AIRE,13342588,Inspeccion semanal Compresor aire vert,"Verifique el estado de los tableros eléctricos (contactores, pulsadores, breakers, selectores, pilotos, alarma, etc)",si,CUMPLE,"8/5/2024, 20:34:50","0,0083333333",,,,,.,.,CUMPLE
