Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICACIÓN FUNCIONAMIENTO CONTROLES TEMP.,si,CUMPLE,"17/5/2024, 8:53:36",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICACIÓN FUNCIÓN. VÁLVULAS DE VAPOR,si,CUMPLE,"17/5/2024, 8:53:46",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICACIÓN VELOCIDAD LAVADORA 17GPM -13GPM,si,CUMPLE,"17/5/2024, 8:53:54",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR BOQUILLAS Y CHORROS ENJUAGUE,si,CUMPLE,"17/5/2024, 8:54:05",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  PRESIÓN BOMBAS DE AGUA Y SODA,si,CUMPLE,"17/5/2024, 8:54:13",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  ESTADO  DE CANASTAS Y PUNTERAS,si,CUMPLE,"17/5/2024, 8:54:21",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  ESTADO DE MANÓMETROS,si,CUMPLE,"17/5/2024, 8:54:36",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  FUNCION. ELECTROVALVULA AGUA ,si,CUMPLE,"17/5/2024, 8:54:51",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  FUNCIONAMIENTO PRESOSTATO AGUA,si,CUMPLE,"17/5/2024, 8:55:02",1,si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 1,25 l",508214,LAVADORA DE BOTELLAS,13338876,Inspeccion  SEMANAL LAVADORA,VERIFICAR  FUNCIONAMIENTO SENSORES,si,CUMPLE,"17/5/2024, 8:55:11",1,si,si,si,si,si,.,.,CUMPLE
