Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,aprobacion programador,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,ESTADO JUEGO DE MANEJO ,si,CUMPLE,"10/5/2024, 10:53:59","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,ESTADO DE CADENA TABLET TOP,si,CUMPLE,"10/5/2024, 10:54:09","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,INSPECCION DE TABLERO ELECTRICO,si,"Tablero funcional, falta organizarlo para que cumpla estéticamente.  ",,"0,0555555556",si,Gerardo Harbey Garcia Cardenas,HENRY OVIDIO MORENO ARIAS,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/3sAeiWLjI8ROlznBStko/pub/EeLuLX9kOYHn38HJZClS.jpeg,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE SISTEMA MOTRIZ,si,CUMPLE,"10/5/2024, 10:55:07","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE SISTEMA NEUMATICO,si,CUMPLE,"10/5/2024, 10:55:13","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE FUNCIONAMIENTO SENSORES Y SEGURIDADES DE PUERTAS,si,CUMPLE,"10/5/2024, 10:55:19","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION SISTEMA  DEL RINSE,si,CUMPLE,"10/5/2024, 10:55:25","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,INSPECCION DE ESTADO Y FUNCIONAMIENTO DE MOTORES,si,"Falta motor de elevación del arol, se utilizó para reemplazar el de banda transportadora.",,"0,0555555556",si,Gerardo Harbey Garcia Cardenas,HENRY OVIDIO MORENO ARIAS,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/3sAeiWLjI8ROlznBStko/pub/JLZkOlFDdcOWLNGYpJDa.jpeg,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE SISTEMA DE LUBRICACION,si,CUMPLE,"10/5/2024, 10:56:37","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE ESTADO DE PISTONES ELEVADORES,si,CUMPLE,"10/5/2024, 10:56:47","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION ESTADO DE SISTEMA DE LLENADO Y CONTRAPRESION,si,CUMPLE,"10/5/2024, 10:56:54","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE ESTADO DE CHUMACERAS Y RODAMIENTOS,si,CUMPLE,"10/5/2024, 10:57:00","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE LAMPARAS UV GERMICIDAS,si,CUMPLE,"10/5/2024, 10:57:07","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICAR FUNCIONAMIENTO DE LAMPARAS IONIZADORAS,si,CUMPLE,"10/5/2024, 10:57:12","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION SISTEMA TAPADOR AROL,si,CUMPLE,"10/5/2024, 10:57:18","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICACION DE SISTEMA TOLVA Y BAJANTES DE TAPAS,si,CUMPLE,"10/5/2024, 10:57:23","0,0555555556",si,.,.,CUMPLE,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,VERIFICAR SISTEMA DE OZONO,si,"Sistema de ozono desinstalado, no se encuentra en funcionamiento, ya el proveedor lo retiró de la planta.",,"0,0555555556",si,Gerardo Harbey Garcia Cardenas,HENRY OVIDIO MORENO ARIAS,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/3sAeiWLjI8ROlznBStko/pub/KsMIUvOiOTSm48dAxMhQ.jpeg,,,,
LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,13350699,INSP SEMANAL LLENADORA 519563,ORDEN Y ASEO,si,CUMPLE,"10/5/2024, 11:17:49","0,0555555556",si,.,.,CUMPLE,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION Y FUNCIONAMIENTO DE BOMBAS Y MOTORES,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION DE SISTEMA NEUMATICO,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACIO ESTADO DE TABLERO ELECTRICO,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION DE TANQUES PRECARBOTADOR,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION DE TANQUE CARBONATADOR,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION DE ESTADO DE VALVULAS TRI-CLAMP Y EMPAQUES,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,VERIFICACION DE SISTEMA DE INYECCION DE CO2,,,,"0,125",,,,,si,si,si,si
LINEA VIDRIO Y PET,528997,CARBONATADOR Y DESAIREADOR,13350703,INSP SEMANAL  CARBONATADOR 528997,ORDEN Y ASEO,,,,"0,125",,,,,si,si,si,si
