Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Completado,Observaciones,Fecha Programada,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,699102,UMA CABINA ASÉPTICA,13350521,P.INSPECCION SEMANAL EQUIPO 699102,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,709657,TREN DE FILTRACIÓN 1 MICRA - NOMINAL,13350541,P.INSPECCIÓN SEMANAL EQUIPO 709657,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710140,LLENADORA KRONES,13350486,P.INSPECCIÓN SEMANAL EQUIPO 710140,sin especificar,"0,3",si,si,si,si,si,CUMPLE,"9/5/2024, 17:26:54",si,.,.,CUMPLE
LINEA PARA EL LLENADO DE BOLSAS,560042,LAVADORA CAJA GENERICA,13350488,P.INSPECCION SEMANAL EQUIPO 560042,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,659373,CALDERA N°1 POWER MASTER,13350489,P.INSPECCIÓN SEMANAL EQUIPO 659373,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE GARRAFAS,82963003,CODIFICADOR,13350490,P.INSPECCION SEMANAL EQUIPO 82963003,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA LLENADO DE VASOS,71009201,CODIFICADOR,13350491,P.INSPECCION SEMANAL EQUIPO 71009201,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,508244,LAVADORA DE BOTELLONES,13350493,P.INSPECCIÓN SEMANAL EQUIPO 508244,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,709650,TANQUES DE AGUA RECUPERADA 100 M3,13350498,P.INSPECCION SEMANAL EQUIPO 709650,sin especificar,"0,3",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO,71015201,TANQUE NEUTRALIZADOR AGUAS RESIDUALES,13350499,P.INSPECCIÓN SEMANAL EQUIPO 71015201,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,56000501,TRANSPORTADOR DE CAJAS,13350500,P.INSPECCION SEMANAL EQUIPO 56000501,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71013301,TRANSPORTADOR DE BOLSA PERSONAL,13350501,P.INSPECCION SEMANAL EQUIPO 71013301,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710166,LLENADORA DE BOLSAS LINEA 8,13350504,P.INSPECCION SEMANAL EQUIPO 710166,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710184,LLENADORA DE BOLSAS LINEA 9,13350505,P.INSPECCION SEMANAL EQUIPO 710184,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71018401,CODIFICADOR 6 LITROS L9,13350506,P.INSPECCION SEMANAL EQUIPO 71018401,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710139,RINSER,13350507,P.INSPECCIÓN SEMANAL EQUIPO 710139,sin especificar,"0,3",si,si,si,si,si,CUMPLE,"9/5/2024, 17:29:28",si,.,.,CUMPLE
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,71014003,DOSIFICADOR DE NITROGENO,13350508,P.INSPECCIÓN SEMANAL EQUIPO 71014003,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710146,TRANSPORTADOR NEUMATICO,13350509,P.INSPECCIÓN SEMANAL EQUIPO 710146,sin especificar,"0,3",si,si,si,si,si,CUMPLE,"9/5/2024, 17:33:19",si,.,.,CUMPLE
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710143,EMPACADORA SMI,13350510,P. INSPECCION SEMANAL EQUIPO 710143,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710138,POSICIONADOR,13350511,P.INSPECCION SEMANAL EQUIPO 710138,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,71953701,TRANSPORTADORES,13350513,P.INSPECCION SEMANAL EQUIPO 71953701,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710144,ENVOLVEDOR,13350514,P. INSPECCION SEMANAL EQUIPO 710144,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710145,TRANSPORTADOR KRONES,13350515,P.INSPECCIÓN SEMANAL EQUIPO 710145,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,74926005,SUBESTACION ELECTRICA AGUA CRISTAL,13350516,P.INSPECCIÓN SEMANAL EQUIPO 74926005,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,900215,ETIQUETADORA,13350517,P.INSPECCIÓN SEMANAL EQUIPO 900215,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71016501,TRANSPORTADOR DE BOLSAS 6 LITROS,13350519,P.INSPECCIÓN SEMANAL EQUIPO 71016501,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,710040,LAVADORA DE HUACALES,13350520,P.INSPECCIÓN SEMANAL EQUIPO 710040,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE GARRAFAS,71001902,TRANSPORTADOR DE GARRAFAS,13350523,P.INSPECCION SEMANAL EQUIPO 71001902,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,649552,COMPRESOR DE AIRE ATLAS COPCO,13350525,P.INSPECCION SEMANAL EQUIPO 649552,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,820105,SECADOR DE AIRE ATLAS COPCO,13350526,P.INSPECCIÓN SEMANAL EQUIPO 820105,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71018402,CODIFICADOR PERSONAL L2A,13350529,P.INSPECCION SEMANAL EQUIPO 71018402,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946901,POZO PROFUNDO BODEGA 1,13350530,P.INSPECCIÓN SEMANAL EQUIPO 70946901,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946902,POZO PROFUNDO AGUA CRISTAL,13350531,P.INSPECCIÓN SEMANAL EQUIPO 70946902,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946903,PLANTA DE LODOS,13350532,P.INSPECCIÓN SEMANAL EQUIPO 70946903,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,679363,PLANTA ELECTRICA,13350534,P.INSPECCIÓN SEMANAL EQUIPO 679363,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710198,LLENADORA DE BOLSAS LINEA 7,13350535,P.INSPECCION SEMANAL EQUIPO 710198,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,710220,LLENADORA DE BOLSAS LINEA 5,13350536,P.INSPECCION SEMANAL EQUIPO 710220,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,820097,INSPECTOR OLORES RECHAZO BOTELLÓN,13350537,P.INSPECCION SEMANAL EQUIPO 820097,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,659401,CALDERA N°2 COLMAQUINAS,13350538,P.INSPECCIÓN SEMANAL EQUIPO 659373,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,71003502,HIPEROZONIZADOR,13350540,P.INSPECCIÓN SEMANAL EQUIPO 71003502,sin especificar,"0,3",si,si,si,si,,,,,,,
EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,660024,TORRE DE AIREACION,13350542,P.INSPECCIÓN SEMANAL EQUIPO 660024,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,71003503,GENERADOR DE OXIGENO,13350543,P.INSPECCIÓN SEMANAL EQUIPO 71003503,sin especificar,"0,3",si,si,si,si,si,CUMPLE,"9/5/2024, 17:30:21",si,.,.,CUMPLE
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,589712,CODIFICADOR 1620,13350544,P.INSPECCIÓN SEMANAL EQUIPO 589712,sin especificar,"0,3",si,si,si,si,,,,,,,
LINEA PARA LLENADO DE VASOS,710128,LLENADORA DE VASOS,13350502,P.INSPECCION SEMANAL EQUIPO 710128,sin especificar,"0,4",si,si,si,si,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,649028,COMPRESOR DE AIRE INGERSOLL R,13350533,P.INSPECCION SEMANAL EQUIPO 649028,sin especificar,"0,5",si,si,si,si,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71016504,OZONIZADOR LLENADORA BOLSA 6 LITROS,13350527,P.INSPECCIÓN SEMANAL EQUIPO 71016504,sin especificar,"0,2",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710147,OZONIZADOR OSMONICS,13350495,P.INSPECCIÓN SEMANAL EQUIPO 710147,sin especificar,"0,2",si,si,si,si,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710147,OZONIZADOR OSMONICS,13352206,P.INSPECCIÓN SEMANAL EQUIPO 710147,sin especificar,"0,2",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,71016504,OZONIZADOR LLENADORA BOLSA 6 LITROS,13352221,P.INSPECCIÓN SEMANAL EQUIPO 71016504,sin especificar,"0,2",,,,,,,,,,,
LINEA PARA ENVASADO BOTELLAS 500 Y 1500,710140,LLENADORA KRONES,13352199,P.INSPECCIÓN SEMANAL EQUIPO 710140,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE BOLSAS,560042,LAVADORA CAJA GENERICA,13352200,P.INSPECCION SEMANAL EQUIPO 560042,sin especificar,"0,3",,,,,,,,,,,
EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,659373,CALDERA N°1 POWER MASTER,13352201,P.INSPECCIÓN SEMANAL EQUIPO 659373,sin especificar,"0,3",,,,,,,,,,,
LINEA PARA EL LLENADO DE GARRAFAS,82963003,CODIFICADOR,13352202,P.INSPECCION SEMANAL EQUIPO 82963003,sin especificar,"0,3",,,,,,,,,,,
LINEA PRODUCCION BOTELLON 18.5 - 20 LT,508244,LAVADORA DE BOTELLONES,13352204,P.INSPECCIÓN SEMANAL EQUIPO 508244,sin especificar,"0,3",,,,,,,,,,,
