Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA  ENVASADO JUGOS HIT,900080,LLENADORA,13341283,INSPECCION SEMANAL LLENADORA DE JUGOS,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"10/5/2024, 21:46:08","0,0666666667",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",518625,LLENADORA REPOTENCIADA - CEDI CALLE 80,13347891,INSPECCIÓN SEMANAL LLENADORA,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"8/5/2024, 11:18:04","0,3333333333",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",518625,LLENADORA REPOTENCIADA - CEDI CALLE 80,13347891,INSPECCIÓN SEMANAL LLENADORA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"8/5/2024, 11:18:14","0,3333333333",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",518625,LLENADORA REPOTENCIADA - CEDI CALLE 80,13347891,INSPECCIÓN SEMANAL LLENADORA,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"8/5/2024, 11:18:24","0,3333333333",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820070,CONDENSADOR EVAPORATIVO,13347909,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,FUGAS DE AIRE/ ACEITE/ AMONIACO,,,,"0,3333333333",si,si,si,si,,,,
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820070,CONDENSADOR EVAPORATIVO,13347909,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,,,,"0,3333333333",si,si,si,si,,,,
"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",820070,CONDENSADOR EVAPORATIVO,13347909,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,,,,"0,3333333333",si,si,si,si,,,,
LINEA DE ENVASADO LATA,630006,CONDENSADOR EVAPORATIVO,13347683,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,FUGAS DE AIRE/ ACEITE/ AMONIACO,si,CUMPLE,"6/5/2024, 17:15:47","0,3333333333",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,630006,CONDENSADOR EVAPORATIVO,13347683,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"6/5/2024, 17:15:53","0,3333333333",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,630006,CONDENSADOR EVAPORATIVO,13347683,INSPECCION SEMANAL DEL CONDENSADOR EVA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"6/5/2024, 17:15:58","0,3333333333",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628875,COMPRESOR DE REFRIGERACION No. 1,13347678,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,FUGAS DE AGUA/ ACEITE/ AMONIACO,si,CUMPLE,"7/5/2024, 16:42:20","0,1666666667",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628875,COMPRESOR DE REFRIGERACION No. 1,13347678,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"7/5/2024, 16:42:27","0,1666666667",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628875,COMPRESOR DE REFRIGERACION No. 1,13347678,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"7/5/2024, 16:42:32","0,1666666667",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628907,COMPRESOR DE REFRIGERACION No. 2,13347680,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,FUGAS DE AGUA/ ACEITE/ AMONIACO,si,CUMPLE,"7/5/2024, 1:51:43","0,1666666667",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628907,COMPRESOR DE REFRIGERACION No. 2,13347680,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"7/5/2024, 1:51:53","0,1666666667",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO LATA,628907,COMPRESOR DE REFRIGERACION No. 2,13347680,INSPECCION SEMANAL COMPRESOR 1 LINEA 3,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"7/5/2024, 1:52:00","0,1666666667",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710309,CAPSULADORA WHITE CUP,13347665,INSPECCION SEMANAL CAPSULADORA WHITE CUP,FUGAS DE AIRE/ ACEITE,si,CUMPLE,"9/5/2024, 14:02:53","0,1666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710309,CAPSULADORA WHITE CUP,13347665,INSPECCION SEMANAL CAPSULADORA WHITE CUP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES MECANICOS,si,CUMPLE,"9/5/2024, 14:03:06","0,1666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,710309,CAPSULADORA WHITE CUP,13347665,INSPECCION SEMANAL CAPSULADORA WHITE CUP,ESTADO Y FUNCIONAMIENTO DE COMPONENTES ELECTRICOS,si,CUMPLE,"9/5/2024, 14:03:13","0,1666666667",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,82960101,CODIFICADOR,13347670,INSPECCION SEMANAL CODIFICADOR NRET HIT.,ESTADO Y FUNCIONAMIENTO CABEZAL CODIFICADOR,si,CUMPLE,"8/5/2024, 4:33:01","0,05",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,82960101,CODIFICADOR,13347670,INSPECCION SEMANAL CODIFICADOR NRET HIT.,ALINEACIÓN CHORRO/REGULACION DE TINTA,si,CUMPLE,"8/5/2024, 4:33:07","0,05",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,82960101,CODIFICADOR,13347670,INSPECCION SEMANAL CODIFICADOR NRET HIT.,VERIFICAR IMPRESIÓN Y NIVELES DE FLUIDOS,si,CUMPLE,"8/5/2024, 4:33:12","0,05",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,82960101,CODIFICADOR,13347670,INSPECCION SEMANAL CODIFICADOR NRET HIT.,COMPONENTES SUELTOS Ó AUSENTES,si,CUMPLE,"8/5/2024, 4:33:16","0,05",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,589687,CODIFICADOR,13347869,INSPECCION SEMANAL CODIFICADOR,ESTADO Y FUNCIONAMIENTO CABEZAL CODIFICADOR,si,CUMPLE,"8/5/2024, 4:33:19","0,05",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,589687,CODIFICADOR,13347869,INSPECCION SEMANAL CODIFICADOR,ALINEACIÓN CHORRO/REGULACION DE TINTA,si,CUMPLE,"8/5/2024, 4:33:22","0,05",,,,,si,.,.,CUMPLE
EQUIPOS PARA  ENVASADO JUGOS HIT,589687,CODIFICADOR,13347869,INSPECCION SEMANAL CODIFICADOR,VERIFICAR IMPRESIÓN Y NIVELES DE FLUIDOS,si,CUMPLE,"8/5/2024, 4:33:25","0,05",,,,,si,.,.,CUMPLE
