Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,INSTRUMENTACIÓN GENERAL,si,CUMPLE,"18/5/2024, 6:45:34","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,ESTADO DE BOMBAS,si,Se presenta fuga en casi todas las bombas del pasteurizador pendiente intervención en mantenimiento tetra pak ,,"0,0111111111",si,si,si,si,si,ANDRES FELIPE MARTINEZ PAMPLONA ,Cesar Augusto Galeano Gil,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/74IFmdULXXLcLCso9KWr/pub/kPm5ZEdhIL263V06ltpe.jpg
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,ESTADO DE VÁLVULAS,si,Varias valvulas se encuentran directas o no funcionan correctamente pendiente intervención mantenimiento tetra pak,,"0,0111111111",si,si,si,si,si,ANDRES FELIPE MARTINEZ PAMPLONA ,Cesar Augusto Galeano Gil,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/74IFmdULXXLcLCso9KWr/pub/zUayB8voV8LtMDHY3TUc.jpg
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,VARIADORES,si,CUMPLE,"18/5/2024, 6:51:42","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,ESTADO DE TUBERÍAS,si,Tubería de dosificar químicos se encuentra rota se requiere intervención en mantenimiento tetra,,"0,0111111111",si,si,si,si,si,ANDRES FELIPE MARTINEZ PAMPLONA ,Cesar Augusto Galeano Gil,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/74IFmdULXXLcLCso9KWr/pub/sIULcLvy9C21MlyR9emj.jpg
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,SISTEMA NEUMÁTICO,si,CUMPLE,"18/5/2024, 6:53:23","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,ESTRUCTURA,si,CUMPLE,"18/5/2024, 6:55:25","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,SISTEMA DE VAPOR,si,CUMPLE,"18/5/2024, 6:55:42","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900213,PASTEURIZADOR,13348067,INSPECCION SEMANAL PASTEURIZADOR TETRA,INTERCAMBIADOR,si,CUMPLE,"18/5/2024, 6:56:13","0,0111111111",si,si,si,si,si,.,.,CUMPLE
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900307,SISTEMA CIP,13348086,INSPECCION SEMANAL ALCIP 3,INSTRUMENTACIÓN GENERAL,,,,"0,0625",si,si,si,si,,,,
LINEA DE  ENVASADO DE TETRAPAK LINEA 1,900307,SISTEMA CIP,13348086,INSPECCION SEMANAL ALCIP 3,ESTADO DE BOMBAS,,,,"0,0625",si,si,si,si,,,,
