Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Completado,Observaciones,Fecha Programada,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
TRATAMIENTO DE AGUAS DE DESECHO JUGOS,710202,PLANTA AGUA RESIDUAL      ,13349802,INSPECCION SEMANAL PTAR 710202,ESTADO BOMBAS,1,si,si,si,si,,,,,,,
TRATAMIENTO DE AGUAS DE DESECHO JUGOS,710202,PLANTA AGUA RESIDUAL      ,13349802,INSPECCION SEMANAL PTAR 710202,ESTADO SISTEMA DE CONTROL Y POTENCIA,1,si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,659361,CALDERA,13349838,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR ESTADO VALVULAS DE SEGURIDAD,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,659361,CALDERA,13349838,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR ESTADO INSTRUMENTOS DE CONTROL,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,659361,CALDERA,13349838,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR OPERACION DEL MACDONALD,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,650008,CALDERA,13349837,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR ESTADO VALVULAS DE SEGURIDAD,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,650008,CALDERA,13349837,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR ESTADO INSTRUMENTOS DE CONTROL,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,650008,CALDERA,13349837,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR OPERACION DEL MACDONALD,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,660020,TORRE ENFRIAMIENTO TPI  ,13349861,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR ESTRUCTURA GENERAL,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,660020,TORRE ENFRIAMIENTO TPI  ,13349861,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR FLAUTAS,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,660020,TORRE ENFRIAMIENTO TPI  ,13349861,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR BOMBAS,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA PREPARACION JUGOS TETRAPAK,900008,DRUMP DUMPER  ,13349806,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR CILINDROS NEUMATICOS,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA PREPARACION JUGOS TETRAPAK,900008,DRUMP DUMPER  ,13349806,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR MOTOREDUCTOR DEL PICADOR,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA PREPARACION JUGOS TETRAPAK,900008,DRUMP DUMPER  ,13349806,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR TABLERO ELECTRICO,"0,3333333333",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   SERVICIOS  GENERALES,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   FLOCULADOR,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   CALDERA,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA    ESTERIDRINK,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA  LAVADORA,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA    COOLER,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629, ESTADO BOMBA CLORO,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,689629,REDES HIDRAULICAS Y NEUMATICAS ,13349793,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   SALMUERA,"0,125",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,749631,REDES ELECTRICAS ,13349792,INSPECCION SEMANAL REDES ELECTRICAS,REVISAR ESTADO ILUMINACION PLANTA EN GENERAL,"1,5",si,si,si,si,,,,,,,
EQUIPOS PARA SERVICIOS INDUSTRIALES,749631,REDES ELECTRICAS ,13349792,INSPECCION SEMANAL REDES ELECTRICAS,TORRES EXTERIORES,"1,5",si,si,si,si,,,,,,,
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,SUPER ESTRUCTURA,"0,25",si,si,si,si,si,CUMPLE,"7/5/2024, 13:10:02",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,PLEGADORA FINAL,"0,25",,,,,si,,,si,,,
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,SISTEMA DE MORDAZAS,"0,25",,,,,si,CUMPLE,"7/5/2024, 15:50:58",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,HORUGA,"0,25",,,,,si,CUMPLE,"7/5/2024, 15:51:21",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,CAMARA ASEPTICA,"0,25",,,,,si,CUMPLE,"7/5/2024, 15:51:30",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,SISTEMA DE LIMPIEZA,"0,25",,,,,si,CUMPLE,"7/5/2024, 15:51:44",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,"SERVICIOS GENERAL (FILTROS, TERMO)","0,25",,,,,si,CUMPLE,"7/5/2024, 15:51:58",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,SISTEMA DE CONTROL Y POTENCIA,"0,25",,,,,si,CUMPLE,"7/5/2024, 15:52:05",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,51956402,HELIX 30  SPEED    ,13349859,INSPECCION SEMANAL ACUMULADOR HELIX,VERIFICAR CADENA DE ENTRADA,"0,2",,,,,si,CUMPLE,"7/5/2024, 15:52:21",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,51956402,HELIX 30  SPEED    ,13349859,INSPECCION SEMANAL ACUMULADOR HELIX,VERIFICAR CADENA DE SALIDA,"0,2",,,,,si,CUMPLE,"7/5/2024, 15:52:32",si,.,.,CUMPLE
