Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Motobomba de agua,si,CUMPLE,"6/5/2024, 11:44:50","0,0294117647",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Suministro eléctrico,si,CUMPLE,"6/5/2024, 11:44:56","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Fuga de gas propano  ,si,CUMPLE,"6/5/2024, 11:45:02","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Válvulas y cheques,si,CUMPLE,"6/5/2024, 11:45:07","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Ruido vibración  y calentamiento motores,si,CUMPLE,"6/5/2024, 11:45:13","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Válvulas de vapor,si,CUMPLE,"6/5/2024, 11:45:20","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Tablero eléctrico,si,CUMPLE,"6/5/2024, 11:45:25","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Visores nivel de agua caldera y tanque condensado,si,CUMPLE,"6/5/2024, 11:45:31","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Sensores y microswicth,si,CUMPLE,"6/5/2024, 11:45:39","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Motor principal,si,CUMPLE,"6/5/2024, 11:45:47","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Tapas y empaques,si,CUMPLE,"6/5/2024, 11:45:53","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Programador electrónico,si,CUMPLE,"6/5/2024, 11:45:58","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Manómetros y control temperatura,si,CUMPLE,"6/5/2024, 11:46:03","0,0294117647",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,659364,CALDERA,13346337,Inspeccion semanal caldera,Estructura caldera,si,CUMPLE,"6/5/2024, 11:46:08","0,0294117647",,,,,si,.,.,CUMPLE
