Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,aprobacion programador,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,CARRETAS Y PIÑONES,si,CUMPLE,"11/5/2024, 12:37:14","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,CADENAS TABLETOP,si,CUMPLE,"11/5/2024, 12:37:23","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,TEFLONES Y TORNILLERÍA,si,CUMPLE,"11/5/2024, 12:37:28","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,MOTOREDUCTORES,si,CUMPLE,"11/5/2024, 12:37:32","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,TABLERO ELECTRICO,si,CUMPLE,"11/5/2024, 12:37:37","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,LUBRICACIÓN,si,CUMPLE,"11/5/2024, 12:37:42","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,LIMPIEZA Y EXCESO DE LUBRICACION ,si,CUMPLE,"11/5/2024, 12:37:46","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,CHUMACERAS,si,CUMPLE,"11/5/2024, 12:37:51","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,PINTURA-OXIDACION ,si,CUMPLE,"11/5/2024, 12:37:58","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,BOQUILLAS LUBRICACION,si,CUMPLE,"11/5/2024, 12:38:03","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829622,TRANSPORTADOR DE BOTELLAS,13345338,Inspeccion semanal,BANDEJAS ELECTRICAS,si,CUMPLE,"11/5/2024, 12:38:07","0,0833333333",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,EJES Y PIÑONES (TRANSMISION),si,CUMPLE,"9/5/2024, 9:12:18","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,CARRETAS Y PIÑONES,si,CUMPLE,"9/5/2024, 9:12:55","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,CADENAS TABLETOP,si,CUMPLE,"9/5/2024, 9:13:06","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,TEFLONES Y TORNILLERÍA,si,CUMPLE,"9/5/2024, 9:13:30","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,MOTOREDUCTORES,si,CUMPLE,"9/5/2024, 9:13:39","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,TABLERO ELECTRICO,si,CUMPLE,"9/5/2024, 9:13:51","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,LUBRICACIÓN,si,CUMPLE,"9/5/2024, 9:14:09","0,0909090909",si,.,.,CUMPLE,,,,
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829633,TRANSPORTADOR DE BOTELLAS,13345425,Inspeccion semanal,LIMPIEZA Y EXCESO DE LUBRICACION ,si,CUMPLE,"9/5/2024, 9:14:25","0,0909090909",si,.,.,CUMPLE,,,,
