Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Completado,Observaciones,Fecha Programada,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
LINEA DE ENVASADO DE TETRAPAK  LINEA 1,519564,A3-SPEED       ,13349857,INSPECCION SEMANAL LLENADORA A3-SPEED,SUPER ESTRUCTURA,"0,25",si,si,si,si,si,CUMPLE,"7/5/2024, 13:10:02",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,589657,CODIFICADOR DOMINO ,13349844,INSPECCION SEMANAL CODIFICADOR L4,REVISION SISTEMA HIDRAULICO,"0,5",si,si,si,si,si,CUMPLE,"7/5/2024, 13:35:07",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,540022,EMPACADORA CBP32 ,13349842,INSPECCION SEMANAL CBP 32 30 L4,ESTADO DE SISTEMA NEUMATICO,"0,2",si,si,si,si,si,CUMPLE,"7/5/2024, 13:35:47",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,540022,EMPACADORA CBP32,13349842,INSPECCION SEMANAL CBP 32 30 L4,ESTADO DE LUBRICACION CENTRAL,"0,2",si,si,si,si,si,CUMPLE,"7/5/2024, 13:35:57",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,540022,EMPACADORA CBP32,13349842,INSPECCION SEMANAL CBP 32 30 L4,REVISAR CADENA DE ESTACIONES,"0,2",si,si,si,si,si,CUMPLE,"7/5/2024, 13:36:08",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,540022,EMPACADORA CBP32,13349842,INSPECCION SEMANAL CBP 32 30 L4,ESTADO DE BANDAS TRANSPORTADORAS,"0,2",si,si,si,si,si,CUMPLE,"7/5/2024, 13:36:17",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,540022,EMPACADORA CBP32,13349842,INSPECCION SEMANAL CBP 32 30 L4,REVISAR SISTEMA DE CONTROL Y POTENCIA,"0,2",si,si,si,si,si,CUMPLE,"7/5/2024, 13:36:24",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,538687,APLICADOR DE TAPA CAP30 ,13349841,INSPECCION SEMANAL CAP 30 L4,REVISAR SISTEMA NORDSON,"0,2",si,si,si,si,si,CUMPLE,"11/5/2024, 18:47:20",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,829867,ACUMULADOR HELIX  ,13349805,INSPECCION SEMANAL HELIX AHX 70,VERIFICAR CADENA DE ENTRADA,"0,1666666667",si,si,si,si,si,CUMPLE,"16/5/2024, 13:46:54",si,.,.,CUMPLE
LINEA DE ENVASADO DE TETRAPAK  LINEA 4,690108,PASTEURIZADOR A-3 FLEX  ,13349843,INSPECCION SEMANAL PASTEUR FLEX 690108,REVISAR SISTEMA NEUMATICO,"0,25",si,si,si,si,si,CUMPLE,"16/5/2024, 13:48:16",si,.,.,CUMPLE
