Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA PREPARACION JUGOS HIT,900115,DISTRIBUCION DE JARABE  AREA 222,13348456,INSPECCCION GRAL SEMANAL AREA 222,sin especificar,si,CUMPLE,"11/5/2024, 1:14:13","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,519541,LLENADORA DE BOTELLAS,13348475,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"15/5/2024, 21:54:59","0,1",si,si,si,si,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,740008,SUBESTACION ELECTRICA JUGOS,13348399,INSPECCCION GRAL SEMANAL SUBESTACION JUG,sin especificar,si,CUMPLE,"7/5/2024, 18:27:03","0,1",,,,,si,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,740008,SUBESTACION ELECTRICA JUGOS,13348400,INSPECCCION GRAL SEMANAL SUBESTACION JUG,sin especificar,si,CUMPLE,"7/5/2024, 18:26:57","0,1",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900152,TRANSPORTADOR DE CAJAS,13348401,Inspec. general semanal transp. cajas,sin especificar,si,CUMPLE,"8/5/2024, 6:59:27","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900152,TRANSPORTADOR DE CAJAS,13348402,Inspec. general semanal transp. cajas,sin especificar,si,,,"0,1",si,si,si,si,si,,,
LINEA DE ENVASADO  PET N.R. KRONES,900129,TRANSPORTADOR DE BOTELLAS LLENAS,13348404,Inspec. general semanal transp. botellas,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,900129,TRANSPORTADOR DE BOTELLAS LLENAS,13348405,Inspec. general semanal transp. botellas,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,900127,LLENADORA CAPSULADORA,13348406,inspeccion semanal de la llenadora,sin especificar,si,CUMPLE,"13/5/2024, 15:37:20","0,1",si,si,si,si,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900127,LLENADORA CAPSULADORA,13348407,inspeccion semanal de la llenadora,sin especificar,si,CUMPLE,"22/5/2024, 6:39:28","0,1",si,si,si,si,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900126,ENJUAGADORA,13348416,Inspec. general semanal Enjuagadora,sin especificar,si,CUMPLE,"6/5/2024, 16:41:30","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900126,ENJUAGADORA,13348417,Inspec. general semanal Enjuagadora,sin especificar,si,CUMPLE,"6/5/2024, 16:42:40","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900140,TRANSPORTADOR VENTILADOR BOTELLAS VACIAS,13348419,Inspec. general semanal transp. ventilad,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,900140,TRANSPORTADOR VENTILADOR BOTELLAS VACIAS,13348420,Inspec. general semanal transp. ventilad,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,900149,ETIQUETADORA,13348422,Inspec. general semanal etiquetadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO  PET N.R. KRONES,900149,ETIQUETADORA,13348423,Inspec. general semanal etiquetadora,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 1    PET,900157,TRANSPORTADOR VENTILADOR BOTELLAS VAC. 2,13348426,Inspec. general semanal transp. aereo,sin especificar,si,,,"0,1",si,si,si,si,si,,,
LINEA DE ENVASADO NRO 1    PET,900157,TRANSPORTADOR VENTILADOR BOTELLAS VAC. 2,13348427,Inspec. general semanal transp. aereo,sin especificar,si,CUMPLE,"13/5/2024, 14:42:57","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900226,LLENADORA BOTELLAS PET,13348430,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"13/5/2024, 14:43:08","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900226,LLENADORA BOTELLAS PET,13348431,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"13/5/2024, 14:43:17","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,711005,ENJUAGADORA - RINSE,13348436,Inspec. general semanal Enjuagadora,sin especificar,si,CUMPLE,"8/5/2024, 7:08:16","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 3    PET,711005,ENJUAGADORA - RINSE,13348437,Inspec. general semanal Enjuagadora,sin especificar,si,CUMPLE,"8/5/2024, 7:08:31","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900228,PROCESADOR DE BEBIDA,13348439,Inspec. general semanal procesadorbebida,sin especificar,si,CUMPLE,"13/5/2024, 14:43:31","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 1    PET,900228,PROCESADOR DE BEBIDA,13348440,Inspec. general semanal procesadorbebida,sin especificar,si,CUMPLE,"13/5/2024, 14:43:42","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900125,CARBONATADOR PROPORCIONADOR,13348444,Inspec. general semanal carbonatador,sin especificar,si,CUMPLE,"6/5/2024, 16:42:06","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO  PET N.R. KRONES,900125,CARBONATADOR PROPORCIONADOR,13348445,Inspec. general semanal carbonatador,sin especificar,si,CUMPLE,"6/5/2024, 16:42:13","0,1",,,,,,.,.,CUMPLE
EQUIPOS PARA PREPARACION JUGOS HIT,900115,DISTRIBUCION DE JARABE  AREA 222,13348455,INSPECCCION GRAL SEMANAL AREA 222,sin especificar,si,CUMPLE,"14/5/2024, 6:04:26","0,1",,,,,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900248,LLENADORA DE JUGOS TETRA PAK,13348459,Inspec. gneral semnal llenadora tetra,sin especificar,si,CUMPLE,"16/5/2024, 9:13:29","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900248,LLENADORA DE JUGOS TETRA PAK,13348460,Inspec. gneral semnal llenadora tetra,sin especificar,si,CUMPLE,"16/5/2024, 9:13:37","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900249,ACUMULADOR HELIX,13348461,Inspec. gneral semnal acumulador helix,sin especificar,si,CUMPLE,"16/5/2024, 9:13:51","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900249,ACUMULADOR HELIX,13348462,Inspec. gneral semnal acumulador helix,sin especificar,si,CUMPLE,"16/5/2024, 9:14:04","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900250,LINE CONTROLLER,13348463,Inspec. gneral semnal line controller,sin especificar,si,CUMPLE,"16/5/2024, 9:14:25","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900250,LINE CONTROLLER,13348464,Inspec. gneral semnal line controller,sin especificar,si,CUMPLE,"16/5/2024, 9:14:37","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900251,APLICADOR DE PITILLOS,13348465,Inspec. gneral semnal aplicador pitillos,sin especificar,si,CUMPLE,"16/5/2024, 9:14:54","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900251,APLICADOR DE PITILLOS,13348466,Inspec. gneral semnal aplicador pitillos,sin especificar,si,CUMPLE,"16/5/2024, 9:15:05","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900252,ENCARTONADORA,13348467,Inspec. gneral semnal encartonadora,sin especificar,si,CUMPLE,"16/5/2024, 9:15:33","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 10 TETRA,900252,ENCARTONADORA,13348468,Inspec. gneral semnal encartonadora,sin especificar,si,CUMPLE,"16/5/2024, 9:15:49","0,1",,,,,,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,540017,EMPACADORA  PAQUETES,13348469,Inspec.gneral semanal empacadora paquete,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,540017,EMPACADORA  PAQUETES,13348470,Inspec.gneral semanal empacadora paquete,sin especificar,,,,"0,1",si,si,si,si,,,,
LINEA DE ENVASADO NRO 4    PET,519541,LLENADORA DE BOTELLAS,13348474,Inspec. general semanal llenadora,sin especificar,si,CUMPLE,"15/5/2024, 21:55:05","0,1",si,si,si,si,si,.,.,CUMPLE
LINEA DE ENVASADO NRO 4    PET,829662,TRANSPORTADOR AEREO,13348478,Inspec. general semanal transp. aereo,sin especificar,si,CUMPLE,"15/5/2024, 21:55:10","0,1",si,si,si,si,si,.,.,CUMPLE
