Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,imagen_observacion
TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,207011,TALLER INDUSTRIAL MANTENIMIENTO PLANTA,13350434,Inspeccion semanal taller Indutrial,INSPECCIÓN GENERAL,si,CUMPLE,"16/5/2024, 13:59:08","0,1",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,VALVULAS LLENADORAS,si,CUMPLE,"8/5/2024, 14:16:04","0,0037037037",si,si,si,si,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,PISTONES ELEVADORES,si,CUMPLE,"8/5/2024, 14:16:15","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,GUIAS PLASTICAS,si,CUMPLE,"8/5/2024, 14:16:22","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,CORONADORES,si,CUMPLE,"8/5/2024, 14:16:30","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,CERRADOR,si,CUMPLE,"8/5/2024, 14:16:39","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,ABRIDOR,si,CUMPLE,"8/5/2024, 14:16:54","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,VALVULAS Y REGULADORES NEUMATICOS,si,CUMPLE,"8/5/2024, 14:17:26","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,TOLVA TAPA CORONA,si,CUMPLE,"8/5/2024, 14:17:45","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,ESTADO DE PIÑONES TRANSMISIÓN ,si,CUMPLE,"8/5/2024, 14:17:50","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,MARIPOSAS VALVULAS,si,CUMPLE,"8/5/2024, 14:17:58","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,CENTRADORES DE BOTELLAS,si,CUMPLE,"8/5/2024, 14:18:05","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,TABLERO ELECTRICO ,si,CUMPLE,"8/5/2024, 14:18:14","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,ESTADO SENSORES Y FOTOCELDAS,si,CUMPLE,"8/5/2024, 14:18:24","0,0037037037",,,,,si,.,.,CUMPLE
"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518582,LLENADORA,13342786,Inspeccion semanal llenadora de botellas,DUCHAS DE ENJUAGUE,si,CUMPLE,"8/5/2024, 14:18:34","0,0037037037",,,,,si,.,.,CUMPLE
