Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,correo de programador,correo de planeador,imagen_observacion,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador
TRATAMIENTO DE AGUA PARA ENVASADO,70948955,TANQUE ALCALINO (BEVRO) - CIP,13340400,INSP SEMANAL ALCALINO (BEVRO) - CIP,PLAN MTTO MEC TANQUE ALCALINO (BEVRO) -,si,CUMPLE,"14/5/2024, 15:11:39","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965316,FILTRO PURIFICA (CARBON) 8 - TRAT PRIM,13340402,INSP SEMANAL FILT PURIF(CARBON)8 - T PRI,PLAN MTTO MEC FILTRO PURIFICA (CARBON) 8,si,CUMPLE,"13/5/2024, 6:31:29","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965317,FILTRO PURIFICA (CARBON) 9 - TRAT PRIM,13340403,INSP SEMANAL FILT PURIF(CARBON)9 - T PRI,PLAN MTTO MEC FILTRO PURIFICA (CARBON) 9,si,CUMPLE,"13/5/2024, 6:32:06","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965319,FILTRO BANDA  - TRAT PRIM,13340404,INSP SEMANAL FILTRO BANDA  - TRAT PRIM,PLAN MTTO MEC FILTRO BANDA  - TRAT PRIM,si,CUMPLE,"13/5/2024, 6:32:42","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948952,SISTEMA DE CAL - TRAT PRIM,13340397,INSP SEMANAL SISTEMA DE CAL - TRAT PRIM,PLAN MTTO MEC SISTEMA DE CAL - TRAT PRIM,si,CUMPLE,"13/5/2024, 6:33:05","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948953,TABLERO ELECTRICO - TRAT PRIM,13340398,INSP SEMANAL TABLERO ELECTRICO - T PRIM,PLAN MTTO ELE TABLERO ELECTRICO - TRAT P,si,CUMPLE,"13/5/2024, 6:33:21","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948954,TANQUE ACIDO (TRIMETA) - CIP,13340399,INSP SEMANAL TANQUE ACIDO (TRIMETA)-CIP,PLAN MTTO MEC TANQUE ACIDO (TRIMETA) - C,si,CUMPLE,"14/5/2024, 15:12:03","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948956,TANQUE DE AGUA - CIP,13340401,INSP SEMANAL TANQUE DE AGUA - CIP,PLAN MTTO MEC TANQUE DE AGUA - CIP,si,CUMPLE,"14/5/2024, 15:12:15","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948951,TANQUE DE AGUA RECUPERADA - TRAT PRIM,13340396,INSP SEMANAL TK DE AGUA RECUPER - T PRIM,PLAN MTTO MEC TANQUE DE AGUA RECUPERADA,si,CUMPLE,"13/5/2024, 6:33:41","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948949,TANQUE FIBR ACD CLORU FERRI - TRAT PRIM,13340394,INSP SEMANAL TK FIBR CLOR FERRI - T PRIM,PLAN MTTO MEC TANQUE FIBR ACD CLORU FERR,si,CUMPLE,"13/5/2024, 6:34:11","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948957,TANQUE PLASTICO HIPOCLORITO - TRAT PRIM,13340395,INSP SEMANAL TK PLASTICO HIPOCL - T PRIM,PLAN MTTO MEC TANQUE PLASTICO HIPOCLORIT,si,CUMPLE,"13/5/2024, 6:34:31","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948947,ESPESADOR DE LODOS  - TRAT PRIM,13340392,INSPEC SEMANAL ESPESADOR LODOS  - T PRIM,PLAN MTTO MEC ESPESADOR DE LODOS  - TRAT,si,CUMPLE,"13/5/2024, 6:35:00","0,1",.,.,CUMPLE,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70948945,TANQUE BALANCE 1  - TRAT PRIM,13340390,INSPEC SEMANAL TANQUE BALAN 1  - T PRIM,PLAN MTTO MEC TANQUE BALANCE 1  - TRAT P,si,CUMPLE,"13/5/2024, 6:35:40","0,1",.,.,CUMPLE,,,,
