Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Duración,aprobacion programador,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,Observaciones,correo de programador,correo de planeador,imagen_observacion,Fecha Programada
EQUIPOS PARA SERVICIOS INDUSTRIALES,689616,REDES HIDRAULICAS Y NEUMATICAS,13343301,Inspección semanal,sin especificar,si,1,si,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO Y LAVA,70963117,PLANTA DE OSMOSIS INVERSA,13343416,Inspeccion semanal.,sin especificar,,"0,2",,si,si,si,si,,,,,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO SISTEMA TRANSMISION DE CARGUE,si,"0,05",si,,,,,Se realiza la inspección de la trasmisión del cargue de la lavadora y se encuentra torcido y hace que la caja reductora des balancee,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/U3TxMFTTMwTiiC5Hd7st.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO CHUMACERAS,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:35:54"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO RETENEDORES DE REDUCTORES,si,"0,05",si,,,,,Se realiza la inspección de los retenedores de los moto reductor es y hay uno retenedores que están en mal estado esperando que lleguen para realizar el cambio ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/wpMlYxmXoh6BmZVbO8BR.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO EJES DE TRANSMISION Y CRUCETAS,si,"0,05",si,,,,,Se realiza la inspección del eje y la cruceta y el eje se encuentra torcido y la cruceta está en buen estado ,Hector Fabian Blanco Romero,Jesús Andelfo Arias Arias,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/tVxsPmaclDAAXSbZznaY/pub/LsWn6tTKHsu8fcZnm0Wf.jpg,
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO CADENAS DE TRANSMISION,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:24:04"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO LUBRICONTROLES,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 12:01:37"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,ESTADO FLAUTAS DE LAVADO,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:26:47"
"LINEA DE ENVASADO  8,5ONZ, 12ONZ, 1.25 l",500001,LAVADORA DE BOTELLAS,13351021,INSPECCION SEMANAL LAVADORA,FUGAS DE AGUA Y VAPOR,si,"0,05",si,,,,,CUMPLE,.,.,CUMPLE,"15/5/2024, 11:27:05"
